country,currency,estimateCurrency,exchange,industry,ipo,logo,marketCap,companyName,phone,sharesOutstanding,ticker,website
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1980-12-12,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.svg,3439587.902993,Apple Inc,14089961010.0,15334.08,AAPL,https://www.apple.com/
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1979-10-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD.svg,245000.855247,Advanced Micro Devices Inc,14087494000.0,1616.31,AMD,https://www.amd.com/en
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Retail,1997-05-15,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.svg,1905765.6447390004,Amazon.com Inc,12062661000.0,10406.63,AMZN,https://www.amazon.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,1979-02-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ARW.svg,6497.768332999999,Arrow Electronics Inc,13038244000.0,53.23,ARW,https://www.arrow.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Aerospace & Defense,1934-09-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BA.svg,110581.992954,Boeing Co,17034146338.0,615.47,BA,https://www.boeing.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Packaging,1973-12-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BLL.svg,18945.457936,Ball Corp,13034693131.0,310.38,BALL,https://www.ball.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,1929-07-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BMY.svg,86435.54692700002,Bristol-Myers Squibb Co,121254642000.0,2027.1,BMY,https://www.bms.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Machinery,1929-12-02,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CAT.svg,170009.44687399996,Caterpillar Inc,19728917700.0,489.05,CAT,https://www.caterpillar.com
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.","Hotels, Restaurants & Leisure",1987-07-31,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CCL.svg,23108.302312,Carnival Corp,,1267.26,CCL,https://www.carnivalcorp.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,2004-06-23,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CRM.svg,239953.474731,Salesforce Inc,14159017000.0,969.0,CRM,https://www.salesforce.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Machinery,1933-06-29,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DE.svg,104182.111671,Deere & Co,13097658000.0,275.57,DE,https://www.deere.com/
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Road & Rail,2021-07-30,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/HTZ.svg,1165.145956,Hertz Global Holdings Inc,12393017000.0,305.81,HTZ,
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,1944-09-25,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/JNJ.svg,372289.211203,Johnson & Johnson,17325242455.0,2406.68,JNJ,https://www.jnj.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,1969-03-05,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/JPM.svg,602418.502979,JPMorgan Chase & Co,12122706000.0,2871.67,JPM,https://www.jpmorganchase.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Beverages,1950-01-26,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/KO.svg,281266.422875,Coca-Cola Co,14046762121.0,4307.96,KO,https://www.coca-colacompany.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,1970-07-09,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/LLY.svg,814944.0866420001,Eli Lilly and Co,13172762000.0,950.41,LLY,https://www.lilly.com/
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Media,2012-05-18,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.svg,1209394.1853309998,Meta Platforms Inc,16505434800.0,2536.53,META,https://www.facebook.com
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Industrial Conglomerates,1946-01-14,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MMM.svg,57505.30186299999,3M Co,16517331474.0,553.36,MMM,https://www.3m.com/
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Technology,1986-03-13,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MSFT.svg,3248735.233379,Microsoft Corp,14258828080.0,7432.31,MSFT,https://www.microsoft.com/en-us
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,1999-01-22,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.svg,2901078.007507,NVIDIA Corp,14084862000.0,24600.0,NVDA,https://www.nvidia.com/
NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,1986-03-12,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ORCL.svg,381851.969756,Oracle Corp,17378671000.0,2755.86,ORCL,https://www.oracle.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,1944-01-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PFE.svg,169827.781529,Pfizer Inc,12127332323.0,5666.59,PFE,https://www.pfizer.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy ,2012-04-12,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PSX.svg,58704.650286,Phillips 66,18327653010.0,423.95,PSX,https://www.phillips66.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Telecommunication,1983-11-21,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/T.svg,137093.561564,AT&T Inc,12108214105.0,7170.17,T,https://www.att.com/
US,USD,USD,NASDAQ NMS - GLOBAL MARKET,Automobiles,2010-06-09,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TSLA.svg,762855.7426109998,Tesla Inc,15125168177.0,3189.2,TSLA,https://www.tesla.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,2008-03-25,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/V.svg,531184.692241,Visa Inc,16504323200.0,2001.0,V,https://usa.visa.com/
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,1972-08-25,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/WMT.svg,569080.6995850002,Walmart Inc,14792734000.0,8043.54,WMT,https://corporate.walmart.com
US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",Energy ,1980-03-17,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/XOM.svg,520681.6307600001,Exxon Mobil Corp,19724441000.0,4485.93,XOM,https://corporate.exxonmobil.com/
